temperature,humidity,pressure,vibration,power_consumption,noise_level,target,target_name
21.55,42.25,1016.87,0.651,121.04,32.99,0,normal
34.1,62.21,1008.45,1.92,143.62,53.63,1,warning
57.47,79.96,984.88,1.382,188.88,65.94,2,critical
23.33,68.81,1005.76,0.089,67.02,43.24,0,normal
29.92,70.62,1013.43,0.14,163.86,63.04,1,warning
45.26,79.1,989.52,16.077,230.64,100.88,2,critical
33.81,41.29,1015.02,0.015,116.62,34.8,0,normal
40.88,72.32,1000.37,2.954,143.74,59.99,1,warning
41.22,68.97,1019.8,7.736,131.93,62.59,1,warning
57.46,99.51,990.14,2.021,195.32,74.52,2,critical
33.98,68.65,1018.03,1.428,163.12,61.56,1,warning
29.47,65.46,1003.44,4.185,184.54,56.8,1,warning
35.38,53.98,1008.03,1.338,133.14,63.39,1,warning
25.31,32.51,1006.71,0.15,99.5,48.97,0,normal
22.42,57.0,1010.12,0.343,101.83,31.55,0,normal
26.03,63.24,1007.34,0.417,108.76,38.2,0,normal
31.68,68.4,1017.56,4.815,157.81,59.17,1,warning
18.31,60.52,1008.78,0.349,104.9,38.9,0,normal
33.23,64.26,1010.81,0.856,180.98,67.91,1,warning
29.75,46.12,1009.66,0.226,113.89,49.55,0,normal
51.53,92.53,984.51,3.212,211.94,70.12,2,critical
32.82,68.9,1009.29,0.349,142.6,45.57,1,warning
30.03,44.46,1015.84,0.16,124.43,34.5,0,normal
47.36,90.85,1005.03,1.432,209.48,72.93,2,critical
22.55,63.16,1004.23,0.156,80.79,48.77,0,normal
40.53,79.28,996.07,3.329,171.9,73.32,2,critical
24.42,53.02,1012.83,2.122,82.47,43.84,0,normal
26.15,54.3,1018.15,0.115,103.58,38.37,0,normal
26.61,60.6,1020.71,0.222,104.98,36.26,0,normal
26.96,49.44,1014.4,0.352,83.12,38.99,0,normal
30.61,61.73,1008.19,0.635,157.35,57.57,1,warning
34.18,62.55,1004.6,0.858,147.11,60.85,1,warning
41.69,86.09,1002.47,5.778,190.06,73.88,2,critical
25.55,52.48,1010.7,0.143,87.25,47.55,0,normal
